"","Name","Region","State.Abbreviation","County.FIPS.Code","Population","Premature.death","Life.expectancy","Child.mortality","Poor.or.fair.health","Unemployment","Income.inequality","Median.income","Homeownership","Food.insecurity","Severe.housing.problems","School.funding.adequacy","High.school.completion","Reading.scores","Free.or.reduced.lunch.eligibility","Adult.smoking","Excessive.drinking","Physical.inactivity","Adult.obesity","Uninsured","Uninsured.children","Primary.care.physicians","Not.proficient.in.English","Rural"
"1","Autauga County","South","AL",1,56145,8027.394727,76.58564973,5149625.222,20.1,4.884279,5.135445878,67565,74.6231272,15.7,14.7288657,-261860.8,88.713682,3.12696818,45.4824561,19.7,16.1612356,32.2,35.3,9.3512391,2.6531064,0.000447475,0.6926952,42.0021623
"2","Baldwin County","South","AL",3,229287,8118.358206,77.72472918,5116978.345,17.2,5.6064818,4.386477827,71135,76.9997739,13.4,12.4205037,33394.24,90.4713846,3.192380762,46.1322853,19.9,21.5035299,27.6,29.6,10.9067738,3.4081982,0.000689859,0.7720679,42.2790991
"3","Barbour County","South","AL",5,24589,12876.76032,72.86721012,8270493.797,31.1,7.045534,5.994926933,38866,61.9502253,20.7,15.4599891,-1509736.5,74.7316964,2.389161313,60.2061534,27.8,13.9276425,41.6,40.4,12.9914732,3.5589265,0.000364579,1.8274669,67.7896347
"4","Bibb County","South","AL",7,22136,11191.47432,73.60936309,8223233.375,25,6.6319444,5.394051358,50907,74.77614,16.3,11.1842105,-427957.1,80.8844686,2.688775131,59.142769,25.2,16.0167595,37.7,41.2,10.9932498,3.0872193,0.000580513,0.3550968,68.3526075
"5","Blount County","South","AL",9,57879,10787.01454,74.1714626,7117304.415,23.2,4.0874255,4.764969276,55203,76.0763971,14.5,10.4611651,-57420.7,82.8251369,2.901714404,52.401269,22.2,16.1735047,33.3,38.7,14.2710274,4.6760236,0.000224812,1.4764977,89.951502
"6","Bullock County","South","AL",11,9976,11406.35109,73.81468226,10469875.31,31.1,5.5002076,8.107064622,33124,73.8116069,15.7,17.3130194,-1921687,74.9410377,2.110535605,75.4626457,25.2,13.4455428,41.3,43.8,11.099631,2.3820867,0.000297,1.5659255,51.3743815
"7","Butler County","South","AL",13,19504,12717.03016,73.47327905,8017868.392,27.1,8.8449647,5.70442037,42268,73.2741766,16.5,12.5186289,-1051471,86.3531114,2.526134007,79.8441734,24.6,13.5570081,40.7,39.7,11.5727003,3.3671587,0.000257096,0.3178023,71.2321574
"8","Calhoun County","South","AL",15,113469,11826.11499,72.82500707,5789740.985,23.7,7.050173,4.755530595,50259,70.3805079,17.2,12.9565893,-432230.736,85.0735117,2.945480411,59.9593378,22.6,16.1706171,32.6,35.9,11.9038143,2.9771631,0.00061617,0.70034,33.6968256
"9","Chambers County","South","AL",17,32865,11059.44388,73.76110499,8639930.881,25.3,6.7948314,4.460929467,39318,67.2434104,15.4,15.1313356,-1330284.15,82.5838206,2.634106621,70.9837545,23.6,14.1963284,36.9,39.5,12.1641277,2.7801418,0.000451074,0.3530198,49.1480345
"10","Cherokee County","South","AL",19,26294,11395.89838,74.0144009,6534305.102,23.7,4.6034917,4.475409836,50388,78.2299742,16.1,10.9853843,52121.78,82.8240088,2.784754319,61.0982807,24.7,16.3980167,36,34.3,12.9817853,3.6778939,0.000381738,1.1041073,85.736273
